ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,C2848564,R1,RESAD724W46L381D178B,1,,,,,
2,C337062,R2,RESAD724W46L381D178B,1,,,,,
3,C337055,R3,RESAD724W46L381D178B,1,,,,,
4,C474920,LED,TERMBLK_254-2N,1,,,,,
5,B4B-XH-A,LICK,B4B-XH-A,1,,,,,
6,C50950,AMP,1X05,1,,,,,
7,C128091,R4,PV36P,1,,,,,
8,A-2014-2-4-N-T-R,J3,ASSMANN_A-2014-2-4-N-T-R,1,,,,,
